Company,Type_Name,Operating_System,Weight,Memory_Size_GB,Memory_Type,CPU_Name,GPU_Brand,is_Touchscreen,has_IPS,Screen_Types,PPI
Lenovo,Gaming,Windows,3.2,1512,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Dell,Workstation,Windows,2.8,1256,Hybrid,Other Intel Processor,Nvidia,0,0,4K Ultra HD,282.42
Lenovo,Gaming,No OS,2.4,512,SSD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Dell,Notebook,Windows,2.3,1000,HDD,Intel Core i3,Intel,1,0,Other,100.45
Dell,Ultrabook,Windows,1.21,256,SSD,Intel Core i7,Intel,1,1,4K Ultra HD,331.26
Dell,Ultrabook,Windows,1.2,256,SSD,Intel Core i7,Intel,0,0,Full HD,165.63
Lenovo,Notebook,Windows,2.2,256,SSD,Intel Core i5,Intel,0,0,Other,100.45
Acer,Notebook,Linux,2.4,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Asus,Gaming,Windows,2.9,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
HP,Notebook,No OS,2.1,500,HDD,Intel Core i3,Intel,0,0,Full HD,141.21
Lenovo,Notebook,No OS,2.2,256,SSD,Intel Core i5,Intel,0,0,Full HD,141.21
Huawei,Ultrabook,Windows,1.05,512,SSD,Intel Core i7,Intel,0,1,Full HD,199.69
Dell,Ultrabook,Windows,1.4,256,SSD,Intel Core i7,AMD,0,1,Full HD,165.63
Lenovo,Notebook,No OS,2.8,1000,HDD,Intel Core i5,Nvidia,0,0,Other,106.11
HP,Notebook,Windows,1.63,256,SSD,Intel Core i7,Nvidia,0,0,Full HD,157.35
Dell,Ultrabook,Windows,1.6,256,SSD,Intel Core i5,Intel,0,0,Full HD,157.35
Dell,2 in 1 Convertible,Windows,1.62,512,SSD,Intel Core i7,Intel,1,0,Full HD,165.63
Dell,Notebook,Linux,2.2,256,SSD,Intel Core i5,AMD,0,0,Full HD,141.21
Lenovo,2 in 1 Convertible,Windows,1.74,256,SSD,Intel Core i5,Intel,0,1,Full HD,157.35
Toshiba,Ultrabook,Windows,1.2,256,SSD,Intel Core i7,Intel,0,0,Full HD,165.63
HP,Notebook,Windows,2.1,1000,HDD,Intel Core i5,Intel,0,0,Full HD,141.21
Dell,Gaming,Windows,4.42,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,127.34
Acer,Notebook,Windows,2.2,256,SSD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Dell,Notebook,Windows,2.3,1000,HDD,Intel Core i7,AMD,1,0,Full HD,141.21
Asus,Notebook,Windows,2.0,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,141.21
Asus,Notebook,Windows,2.69,756,Hybrid,Intel Core i5,Nvidia,0,0,Full HD,127.34
HP,Notebook,Windows,1.9,1000,HDD,Intel Core i7,AMD,0,0,Full HD,141.21
Asus,Notebook,Windows,2.37,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
HP,Notebook,Windows,2.1,500,HDD,AMD Processor,AMD,0,0,Other,100.45
Lenovo,Gaming,Windows,3.2,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Dell,Notebook,Windows,1.6,256,SSD,Intel Core i5,Intel,0,0,Full HD,157.35
Acer,2 in 1 Convertible,Windows,1.6,256,SSD,Intel Core i5,Intel,1,1,Full HD,165.63
Dell,Notebook,Linux,2.36,256,SSD,Intel Core i7,AMD,0,0,Full HD,141.21
Acer,Notebook,Linux,2.1,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
Asus,Notebook,Windows,2.2,1128,Hybrid,AMD Processor,AMD,0,0,Full HD,141.21
Asus,Gaming,Windows,4.7,1512,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Acer,Gaming,Windows,2.5,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,141.21
Lenovo,Notebook,Windows,2.2,128,SSD,Intel Core i3,Intel,0,0,Other,100.45
